step,train/node_label/f1_score,train/loss/total,train/loss/node_label,train/node_label/accuracy,epoch,lr-Adam,val/loss/node_label,val/node_label/f1_score,val/node_label/accuracy,val/loss/total,test/loss/total,test/node_label/accuracy,test/loss/node_label,test/node_label/f1_score
2049,,,,,,0.001,,,,,,,,
2049,0.7171630859375,1.2241579294204712,1.2241579294204712,0.16860444843769073,30,,,,,,,,,
2076,,,,,30,,1.6573783159255981,0.5229941606521606,0.10286527872085571,1.6573783159255981,,,,
2077,,,,,,0.001,,,,,,,,
2099,,,,,,0.001,,,,,,,,
2099,0.6985953450202942,1.2418484687805176,1.2418484687805176,0.10703524202108383,31,,,,,,,,,
2143,,,,,31,,1.6605337858200073,0.5384811758995056,0.1308547705411911,1.6605337858200073,,,,
2144,,,,,,0.001,,,,,,,,
2149,,,,,,0.001,,,,,,,,
2149,0.7357662916183472,1.2048107385635376,1.2048107385635376,0.14736419916152954,32,,,,,,,,,
2199,,,,,,0.001,,,,,,,,
2199,0.7124811410903931,1.2285479307174683,1.2285479307174683,0.16197839379310608,32,,,,,,,,,
2210,,,,,32,,1.6866257190704346,0.5124697685241699,0.10344687849283218,1.6866257190704346,,,,
2211,,,,,,0.001,,,,,,,,
2249,,,,,,0.001,,,,,,,,
2249,0.7399039268493652,1.2296922206878662,1.2296922206878662,0.16803200542926788,33,,,,,,,,,
2277,,,,,33,,1.6642131805419922,0.5298547744750977,0.10447121411561966,1.6642131805419922,,,,
2278,,,,,,0.001,,,,,,,,
2299,,,,,,0.001,,,,,,,,
2299,0.7149695158004761,1.3183468580245972,1.3183468580245972,0.19240345060825348,34,,,,,,,,,
2344,,,,,34,,1.6608307361602783,0.5075487494468689,0.08202704787254333,1.6608307361602783,,,,
2345,,,,,,0.001,,,,,,,,
2349,,,,,,0.001,,,,,,,,
2349,0.6944870352745056,1.2429430484771729,1.2429430484771729,0.1547832489013672,35,,,,,,,,,
2399,,,,,,0.001,,,,,,,,
2399,0.7279723286628723,1.2600743770599365,1.2600743770599365,0.18452922999858856,35,,,,,,,,,
2411,,,,,35,,1.6653639078140259,0.5420863032341003,0.12604810297489166,1.6653639078140259,,,,
2412,,,,,,0.001,,,,,,,,
2449,,,,,,0.001,,,,,,,,
2449,0.7431248426437378,1.1972403526306152,1.1972403526306152,0.12959003448486328,36,,,,,,,,,
2478,,,,,36,,1.6714369058609009,0.5331242680549622,0.11715339124202728,1.6714369058609009,,,,
2479,,,,,,0.001,,,,,,,,
2499,,,,,,0.001,,,,,,,,
2499,0.7039462924003601,1.2484803199768066,1.2484803199768066,0.14364749193191528,37,,,,,,,,,
2545,,,,,37,,1.6642956733703613,0.5362461805343628,0.12211618572473526,1.6642956733703613,,,,
2546,,,,,,0.001,,,,,,,,
2549,,,,,,0.001,,,,,,,,
2549,0.7591120004653931,1.2013686895370483,1.2013686895370483,0.2406996637582779,38,,,,,,,,,
2599,,,,,,0.001,,,,,,,,
2599,0.6613537073135376,1.3142223358154297,1.3142223358154297,0.14370106160640717,38,,,,,,,,,
2612,,,,,38,,1.5526437759399414,0.5932806134223938,0.1338658332824707,1.5526437759399414,,,,
2613,,,,,,0.001,,,,,,,,
2649,,,,,,0.001,,,,,,,,
2649,0.7018229961395264,1.2231545448303223,1.2231545448303223,0.1544657051563263,39,,,,,,,,,
2679,,,,,39,,1.6860663890838623,0.514420211315155,0.11410412937402725,1.6860663890838623,,,,
2680,,,,,,0.001,,,,,,,,
2699,,,,,,0.001,,,,,,,,
2699,0.7351107001304626,1.2319159507751465,1.2319159507751465,0.20991189777851105,40,,,,,,,,,
2746,,,,,40,,1.5886456966400146,0.5404073596000671,0.08504413813352585,1.5886456966400146,,,,
2747,,,,,,0.001,,,,,,,,
2749,,,,,,0.001,,,,,,,,
2749,0.7040907740592957,1.220493197441101,1.220493197441101,0.11122292280197144,41,,,,,,,,,
2799,,,,,,0.001,,,,,,,,
2799,0.6424092650413513,1.3051308393478394,1.3051308393478394,0.10124674439430237,41,,,,,,,,,
2813,,,,,41,,1.670158863067627,0.5396044254302979,0.12550702691078186,1.670158863067627,,,,
2814,,,,,,0.001,,,,,,,,
2849,,,,,,0.001,,,,,,,,
2849,0.7693321704864502,1.319542407989502,1.319542407989502,0.24415770173072815,42,,,,,,,,,
2880,,,,,42,,1.6660443544387817,0.5174478888511658,0.10114048421382904,1.6660443544387817,,,,
2881,,,,,,0.001,,,,,,,,
2899,,,,,,0.001,,,,,,,,
2899,0.7663957476615906,1.2185646295547485,1.2185646295547485,0.2303321659564972,43,,,,,,,,,
2947,,,,,43,,1.6309620141983032,0.5389137864112854,0.1055859848856926,1.6309620141983032,,,,
2948,,,,,,0.001,,,,,,,,
2949,,,,,,0.001,,,,,,,,
2949,0.5969902873039246,1.4197274446487427,1.4197274446487427,0.06906293332576752,44,,,,,,,,,
2999,,,,,,0.001,,,,,,,,
